CASOS,Tipo de homicidio,Antecedentes del acusado,Agravantes,Evidencias presentadas en el juicio,Relacion entre el acusado y la victima,Motivacion del crimen,Conducta del acusado durante el juicio,Edad del acusado,Causalidades externas,Evaluacion psicologica,Grado de violencia,Pena
C1,Calificado,Tiene antecedentes por delitos violentos,0,pruebas forenses,conocidos,0,colaboracion con la justicia,49,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,12
C2,Simple,Tiene antecedentes por delitos violentos,planificacion del crimen,pruebas forenses,0,venganza,0,53,consumo de alcohol,condiciones que afectan la capacidad de juicio,violencia extrema,27
C3,Calificado,ha cometido homicidios previos,0,pruebas forenses,familiares,violencia domestica,0,47,0,0,violencia extrema,32
C4,Calificado,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,conocidos,defensa propia,0,29,consumo de alcohol,0,0,19
C5,Calificado,ha cometido homicidios previos,uso de arma blanca,pruebas forenses,0,defensa propia,0,43,presion de grupos delectivos,0,violencia extrema,22
C6,Calificado,ausencia de antecedentes,uso de armas de fuego,testimonios de testigos,parejas,venganza,colaboracion con la justicia,19,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,35
C7,0,Tiene antecedentes por delitos violentos,planificacion del crimen,0,0,celos,colaboracion con la justicia,54,consumo de drogas,transtornos mentales,mutilacion,35
C8,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,testimonios de testigos,familiares,celos,muestra remordimiento,28,presion de grupos delectivos,0,violencia extrema,30
C9,Calificado,0,participacion de multiples acusados,testimonios de testigos,0,defensa propia,muestra remordimiento,52,consumo de drogas,0,violencia extrema,26
C10,0,ausencia de antecedentes,uso de arma blanca,0,conocidos,defensa propia,muestra remordimiento,44,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,13
C11,Simple,ha cometido homicidios previos,uso de armas de fuego,registros de comunicaciones,familiares,0,muestra remordimiento,43,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,33
C12,Simple,0,planificacion del crimen,pruebas forenses,conocidos,venganza,Muestra arrepentimiento genuino,45,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,27
C13,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,registros de comunicaciones,parejas,0,0,51,0,transtornos mentales,violencia extrema,40
C14,Simple,ha cometido homicidios previos,participacion de multiples acusados,registros de comunicaciones,familiares,celos,muestra remordimiento,50,0,transtornos mentales,mutilacion,32
C15,Calificado,Tiene antecedentes por delitos violentos,planificacion del crimen,0,conocidos,violencia domestica,Muestra arrepentimiento genuino,31,consumo de alcohol,0,tortura,23
C16,Simple,ausencia de antecedentes,0,testimonios de testigos,0,defensa propia,0,30,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,11
C17,0,ha cometido homicidios previos,0,0,familiares,defensa propia,ha realizado acciones de reparacion,50,consumo de drogas,0,tortura,25
C18,Calificado,ha cometido homicidios previos,0,0,0,violencia domestica,Muestra arrepentimiento genuino,55,consumo de drogas,condiciones que afectan la capacidad de juicio,mutilacion,28
C19,Simple,ha cometido homicidios previos,uso de arma blanca,evaluaciones psicológicas,familiares,celos,0,32,0,0,0,28
C20,Simple,0,0,registros de comunicaciones,conocidos,celos,Muestra arrepentimiento genuino,27,presion de grupos delectivos,0,violencia extrema,22
C21,0,ausencia de antecedentes,participacion de multiples acusados,registros de comunicaciones,parejas,venganza,colaboracion con la justicia,45,presion de grupos delectivos,0,mutilacion,37
C22,Calificado,ausencia de antecedentes,0,evaluaciones psicológicas,familiares,celos,Muestra arrepentimiento genuino,34,0,0,violencia extrema,26
C23,0,ausencia de antecedentes,participacion de multiples acusados,pruebas forenses,conocidos,defensa propia,muestra remordimiento,19,presion de grupos delectivos,transtornos mentales,0,17
C24,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,testimonios de testigos,0,venganza,0,38,presion de grupos delectivos,transtornos mentales,0,35
C25,Calificado,0,planificacion del crimen,registros de comunicaciones,conocidos,0,colaboracion con la justicia,52,0,condiciones que afectan la capacidad de juicio,tortura,36
C26,Simple,ha cometido homicidios previos,participacion de multiples acusados,0,parejas,defensa propia,ha realizado acciones de reparacion,30,presion de grupos delectivos,transtornos mentales,mutilacion,22
C27,0,ausencia de antecedentes,uso de arma blanca,pruebas forenses,familiares,celos,0,37,consumo de alcohol,transtornos mentales,0,29
C28,Calificado,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,parejas,celos,0,53,consumo de drogas,0,mutilacion,32
C29,Simple,0,uso de armas de fuego,0,parejas,venganza,ha realizado acciones de reparacion,40,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,31
C30,0,ha cometido homicidios previos,0,pruebas forenses,conocidos,celos,ha realizado acciones de reparacion,40,presion de grupos delectivos,transtornos mentales,tortura,31
C31,Calificado,0,participacion de multiples acusados,testimonios de testigos,familiares,defensa propia,0,21,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,27
C32,Calificado,Tiene antecedentes por delitos violentos,uso de armas de fuego,pruebas forenses,0,venganza,colaboracion con la justicia,36,consumo de alcohol,transtornos mentales,mutilacion,43
C33,0,0,uso de armas de fuego,registros de comunicaciones,0,0,ha realizado acciones de reparacion,55,0,condiciones que afectan la capacidad de juicio,mutilacion,34
C34,Calificado,ausencia de antecedentes,uso de armas de fuego,registros de comunicaciones,familiares,venganza,ha realizado acciones de reparacion,30,consumo de alcohol,0,0,31
C35,Calificado,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,conocidos,violencia domestica,colaboracion con la justicia,36,consumo de alcohol,0,mutilacion,33
C36,Calificado,0,0,testimonios de testigos,familiares,violencia domestica,ha realizado acciones de reparacion,55,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,32
C37,Calificado,ausencia de antecedentes,participacion de multiples acusados,testimonios de testigos,parejas,defensa propia,ha realizado acciones de reparacion,46,presion de grupos delectivos,0,0,20
C38,0,ausencia de antecedentes,uso de armas de fuego,testimonios de testigos,familiares,0,muestra remordimiento,52,presion de grupos delectivos,transtornos mentales,0,35
C39,Calificado,ausencia de antecedentes,uso de arma blanca,pruebas forenses,conocidos,celos,0,53,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,24
C40,0,Tiene antecedentes por delitos violentos,uso de armas de fuego,registros de comunicaciones,familiares,venganza,colaboracion con la justicia,46,0,condiciones que afectan la capacidad de juicio,tortura,43
C41,0,ausencia de antecedentes,0,0,conocidos,venganza,muestra remordimiento,20,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,25
C42,0,ausencia de antecedentes,uso de arma blanca,testimonios de testigos,0,venganza,Muestra arrepentimiento genuino,53,0,condiciones que afectan la capacidad de juicio,0,29
C43,Simple,ha cometido homicidios previos,uso de arma blanca,evaluaciones psicológicas,0,venganza,ha realizado acciones de reparacion,32,presion de grupos delectivos,0,mutilacion,29
C44,Simple,Tiene antecedentes por delitos violentos,0,evaluaciones psicológicas,conocidos,defensa propia,ha realizado acciones de reparacion,44,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,16
C45,Calificado,ausencia de antecedentes,uso de arma blanca,evaluaciones psicológicas,familiares,violencia domestica,ha realizado acciones de reparacion,55,0,0,tortura,23
C46,0,ausencia de antecedentes,0,0,conocidos,venganza,0,35,consumo de drogas,transtornos mentales,0,30
C47,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,pruebas forenses,familiares,venganza,ha realizado acciones de reparacion,42,0,condiciones que afectan la capacidad de juicio,0,39
C48,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,registros de comunicaciones,familiares,celos,ha realizado acciones de reparacion,25,0,transtornos mentales,tortura,29
C49,Simple,ha cometido homicidios previos,uso de arma blanca,0,conocidos,violencia domestica,Muestra arrepentimiento genuino,25,0,transtornos mentales,tortura,21
C50,Calificado,Tiene antecedentes por delitos violentos,participacion de multiples acusados,registros de comunicaciones,parejas,defensa propia,Muestra arrepentimiento genuino,52,presion de grupos delectivos,0,tortura,24
C51,0,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,conocidos,0,muestra remordimiento,33,0,condiciones que afectan la capacidad de juicio,tortura,33
C52,Simple,ausencia de antecedentes,participacion de multiples acusados,testimonios de testigos,0,0,ha realizado acciones de reparacion,15,consumo de alcohol,0,tortura,23
C53,0,Tiene antecedentes por delitos violentos,uso de arma blanca,pruebas forenses,conocidos,defensa propia,muestra remordimiento,52,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,22
C54,0,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,familiares,celos,colaboracion con la justicia,40,consumo de alcohol,transtornos mentales,mutilacion,43
C55,Simple,0,uso de arma blanca,registros de comunicaciones,0,violencia domestica,colaboracion con la justicia,39,presion de grupos delectivos,transtornos mentales,violencia extrema,30
C56,0,ausencia de antecedentes,0,registros de comunicaciones,0,venganza,muestra remordimiento,31,0,condiciones que afectan la capacidad de juicio,0,27
C57,0,ausencia de antecedentes,planificacion del crimen,evaluaciones psicológicas,0,celos,Muestra arrepentimiento genuino,19,0,transtornos mentales,tortura,18
C58,Simple,ha cometido homicidios previos,uso de armas de fuego,0,familiares,0,Muestra arrepentimiento genuino,35,consumo de drogas,0,tortura,33
C59,0,ha cometido homicidios previos,planificacion del crimen,evaluaciones psicológicas,parejas,defensa propia,muestra remordimiento,52,consumo de alcohol,transtornos mentales,mutilacion,22
C60,0,Tiene antecedentes por delitos violentos,0,evaluaciones psicológicas,conocidos,violencia domestica,muestra remordimiento,18,consumo de alcohol,transtornos mentales,mutilacion,27
C61,0,Tiene antecedentes por delitos violentos,uso de arma blanca,pruebas forenses,conocidos,celos,colaboracion con la justicia,18,0,condiciones que afectan la capacidad de juicio,0,34
C62,Calificado,Tiene antecedentes por delitos violentos,uso de armas de fuego,evaluaciones psicológicas,0,celos,ha realizado acciones de reparacion,19,0,0,0,27
C63,0,Tiene antecedentes por delitos violentos,uso de armas de fuego,0,0,celos,colaboracion con la justicia,49,consumo de alcohol,condiciones que afectan la capacidad de juicio,violencia extrema,35
C64,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,evaluaciones psicológicas,conocidos,celos,ha realizado acciones de reparacion,27,consumo de drogas,0,0,30
C65,Calificado,ha cometido homicidios previos,uso de armas de fuego,testimonios de testigos,parejas,venganza,0,52,0,transtornos mentales,tortura,39
C66,Calificado,ausencia de antecedentes,0,registros de comunicaciones,familiares,venganza,ha realizado acciones de reparacion,18,consumo de drogas,transtornos mentales,violencia extrema,32
C67,Simple,ha cometido homicidios previos,participacion de multiples acusados,testimonios de testigos,0,celos,ha realizado acciones de reparacion,37,0,transtornos mentales,0,30
C68,0,ha cometido homicidios previos,uso de armas de fuego,evaluaciones psicológicas,0,violencia domestica,Muestra arrepentimiento genuino,15,0,condiciones que afectan la capacidad de juicio,violencia extrema,25
C69,Simple,0,uso de arma blanca,0,0,violencia domestica,colaboracion con la justicia,15,consumo de drogas,condiciones que afectan la capacidad de juicio,0,27
C70,Calificado,ha cometido homicidios previos,0,evaluaciones psicológicas,0,venganza,0,16,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,31
C71,Simple,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,0,venganza,0,50,presion de grupos delectivos,transtornos mentales,violencia extrema,33
C72,Simple,0,participacion de multiples acusados,pruebas forenses,0,defensa propia,Muestra arrepentimiento genuino,43,consumo de drogas,condiciones que afectan la capacidad de juicio,0,20
C73,Simple,ausencia de antecedentes,uso de armas de fuego,0,familiares,violencia domestica,muestra remordimiento,38,consumo de alcohol,0,violencia extrema,19
C74,0,Tiene antecedentes por delitos violentos,uso de arma blanca,pruebas forenses,familiares,venganza,colaboracion con la justicia,32,presion de grupos delectivos,transtornos mentales,0,47
C75,0,0,0,0,conocidos,celos,ha realizado acciones de reparacion,38,presion de grupos delectivos,transtornos mentales,0,31
C76,Calificado,ausencia de antecedentes,uso de arma blanca,registros de comunicaciones,parejas,defensa propia,colaboracion con la justicia,22,presion de grupos delectivos,0,mutilacion,20
C77,Calificado,Tiene antecedentes por delitos violentos,uso de armas de fuego,pruebas forenses,parejas,violencia domestica,colaboracion con la justicia,53,0,condiciones que afectan la capacidad de juicio,tortura,35
C78,Simple,0,0,0,conocidos,defensa propia,muestra remordimiento,43,0,0,violencia extrema,16
C79,0,ha cometido homicidios previos,0,registros de comunicaciones,0,violencia domestica,muestra remordimiento,31,presion de grupos delectivos,transtornos mentales,mutilacion,29
C80,Calificado,Tiene antecedentes por delitos violentos,participacion de multiples acusados,registros de comunicaciones,parejas,0,0,48,0,condiciones que afectan la capacidad de juicio,0,38
C81,Calificado,ha cometido homicidios previos,participacion de multiples acusados,registros de comunicaciones,0,defensa propia,colaboracion con la justicia,17,0,0,0,27
C82,Calificado,ausencia de antecedentes,participacion de multiples acusados,0,0,0,0,46,0,0,tortura,28
C83,0,Tiene antecedentes por delitos violentos,planificacion del crimen,evaluaciones psicológicas,0,celos,ha realizado acciones de reparacion,26,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,tortura,23
C84,0,Tiene antecedentes por delitos violentos,uso de armas de fuego,registros de comunicaciones,conocidos,defensa propia,colaboracion con la justicia,47,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,27
C85,Simple,0,uso de arma blanca,0,parejas,violencia domestica,0,15,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,22
C86,Simple,ha cometido homicidios previos,0,registros de comunicaciones,familiares,celos,ha realizado acciones de reparacion,31,consumo de alcohol,transtornos mentales,tortura,29
C87,0,ausencia de antecedentes,uso de armas de fuego,evaluaciones psicológicas,parejas,0,colaboracion con la justicia,39,presion de grupos delectivos,transtornos mentales,0,37
C88,0,0,0,0,conocidos,celos,colaboracion con la justicia,40,0,transtornos mentales,tortura,36
C89,Simple,ha cometido homicidios previos,0,registros de comunicaciones,conocidos,celos,colaboracion con la justicia,27,presion de grupos delectivos,transtornos mentales,0,30
C90,0,ha cometido homicidios previos,0,testimonios de testigos,conocidos,violencia domestica,colaboracion con la justicia,31,consumo de alcohol,transtornos mentales,tortura,36
C91,0,ha cometido homicidios previos,uso de arma blanca,0,familiares,defensa propia,Muestra arrepentimiento genuino,51,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,26
C92,Calificado,0,planificacion del crimen,0,conocidos,defensa propia,colaboracion con la justicia,41,0,condiciones que afectan la capacidad de juicio,0,24
C93,0,Tiene antecedentes por delitos violentos,uso de arma blanca,registros de comunicaciones,parejas,defensa propia,ha realizado acciones de reparacion,16,0,0,tortura,20
C94,Calificado,ausencia de antecedentes,planificacion del crimen,0,parejas,defensa propia,colaboracion con la justicia,35,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,19
C95,Calificado,ha cometido homicidios previos,uso de arma blanca,testimonios de testigos,conocidos,venganza,ha realizado acciones de reparacion,38,presion de grupos delectivos,transtornos mentales,tortura,37
C96,Calificado,ha cometido homicidios previos,uso de armas de fuego,testimonios de testigos,parejas,defensa propia,ha realizado acciones de reparacion,41,consumo de alcohol,transtornos mentales,tortura,26
C97,Simple,0,planificacion del crimen,0,familiares,0,0,16,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,28
C98,Simple,ausencia de antecedentes,planificacion del crimen,0,conocidos,celos,ha realizado acciones de reparacion,18,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,13
C99,Calificado,ha cometido homicidios previos,uso de arma blanca,0,familiares,0,Muestra arrepentimiento genuino,33,presion de grupos delectivos,transtornos mentales,violencia extrema,40
C100,Calificado,Tiene antecedentes por delitos violentos,planificacion del crimen,registros de comunicaciones,conocidos,defensa propia,muestra remordimiento,40,presion de grupos delectivos,0,tortura,17
C101,Calificado,Tiene antecedentes por delitos violentos,0,evaluaciones psicológicas,familiares,celos,ha realizado acciones de reparacion,37,consumo de alcohol,transtornos mentales,tortura,34
C102,0,ausencia de antecedentes,uso de arma blanca,testimonios de testigos,parejas,celos,colaboracion con la justicia,55,0,condiciones que afectan la capacidad de juicio,mutilacion,32
C103,0,Tiene antecedentes por delitos violentos,0,0,conocidos,celos,0,27,consumo de alcohol,0,violencia extrema,27
C104,Simple,0,participacion de multiples acusados,pruebas forenses,parejas,celos,muestra remordimiento,34,0,transtornos mentales,mutilacion,31
C105,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,testimonios de testigos,conocidos,0,0,52,consumo de alcohol,transtornos mentales,0,40
C106,Simple,0,uso de armas de fuego,0,0,venganza,muestra remordimiento,34,presion de grupos delectivos,0,mutilacion,29
C107,0,0,0,registros de comunicaciones,parejas,0,ha realizado acciones de reparacion,22,consumo de alcohol,0,violencia extrema,34
C108,Simple,ausencia de antecedentes,uso de armas de fuego,testimonios de testigos,conocidos,violencia domestica,ha realizado acciones de reparacion,22,presion de grupos delectivos,0,tortura,14
C109,Simple,ausencia de antecedentes,uso de arma blanca,registros de comunicaciones,conocidos,venganza,0,28,0,0,mutilacion,20
C110,Calificado,ha cometido homicidios previos,participacion de multiples acusados,0,conocidos,violencia domestica,0,53,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,29
C111,0,0,uso de armas de fuego,registros de comunicaciones,0,venganza,colaboracion con la justicia,23,0,transtornos mentales,mutilacion,40
C112,Calificado,ha cometido homicidios previos,planificacion del crimen,evaluaciones psicológicas,familiares,violencia domestica,colaboracion con la justicia,48,presion de grupos delectivos,0,mutilacion,34
C113,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,evaluaciones psicológicas,conocidos,celos,ha realizado acciones de reparacion,31,0,condiciones que afectan la capacidad de juicio,0,31
C114,Calificado,ausencia de antecedentes,planificacion del crimen,testimonios de testigos,conocidos,defensa propia,Muestra arrepentimiento genuino,39,consumo de drogas,0,tortura,13
C115,Calificado,ha cometido homicidios previos,uso de armas de fuego,testimonios de testigos,parejas,venganza,muestra remordimiento,28,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,36
C116,Simple,Tiene antecedentes por delitos violentos,0,testimonios de testigos,familiares,celos,Muestra arrepentimiento genuino,32,0,0,mutilacion,30
C117,Simple,0,participacion de multiples acusados,registros de comunicaciones,conocidos,defensa propia,muestra remordimiento,34,consumo de drogas,transtornos mentales,0,21
C118,Simple,0,uso de arma blanca,pruebas forenses,familiares,defensa propia,muestra remordimiento,24,consumo de alcohol,transtornos mentales,0,21
C119,Calificado,ha cometido homicidios previos,planificacion del crimen,pruebas forenses,familiares,defensa propia,0,40,consumo de alcohol,transtornos mentales,mutilacion,25
C120,Calificado,Tiene antecedentes por delitos violentos,0,0,familiares,defensa propia,Muestra arrepentimiento genuino,55,consumo de drogas,0,0,26
C121,0,ausencia de antecedentes,planificacion del crimen,testimonios de testigos,parejas,celos,colaboracion con la justicia,46,0,0,0,29
C122,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,testimonios de testigos,familiares,violencia domestica,Muestra arrepentimiento genuino,35,0,transtornos mentales,0,35
C123,0,Tiene antecedentes por delitos violentos,uso de armas de fuego,pruebas forenses,0,defensa propia,ha realizado acciones de reparacion,55,0,transtornos mentales,violencia extrema,24
C124,0,Tiene antecedentes por delitos violentos,planificacion del crimen,registros de comunicaciones,conocidos,celos,colaboracion con la justicia,32,consumo de drogas,condiciones que afectan la capacidad de juicio,0,33
C125,Calificado,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,parejas,celos,ha realizado acciones de reparacion,48,presion de grupos delectivos,0,tortura,30
C126,Simple,ha cometido homicidios previos,participacion de multiples acusados,testimonios de testigos,parejas,celos,Muestra arrepentimiento genuino,17,consumo de drogas,0,violencia extrema,29
C127,Calificado,Tiene antecedentes por delitos violentos,uso de armas de fuego,pruebas forenses,0,celos,ha realizado acciones de reparacion,44,consumo de alcohol,0,0,30
C128,Simple,ausencia de antecedentes,participacion de multiples acusados,testimonios de testigos,parejas,celos,Muestra arrepentimiento genuino,17,presion de grupos delectivos,transtornos mentales,0,23
C129,Simple,0,planificacion del crimen,evaluaciones psicológicas,parejas,celos,Muestra arrepentimiento genuino,37,presion de grupos delectivos,0,0,23
C130,0,ausencia de antecedentes,participacion de multiples acusados,registros de comunicaciones,parejas,defensa propia,ha realizado acciones de reparacion,32,consumo de drogas,transtornos mentales,0,21
C131,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,0,parejas,0,0,24,0,0,tortura,33
C132,Simple,Tiene antecedentes por delitos violentos,uso de armas de fuego,0,familiares,0,colaboracion con la justicia,24,consumo de drogas,0,tortura,37
C133,0,Tiene antecedentes por delitos violentos,0,evaluaciones psicológicas,familiares,celos,0,46,consumo de drogas,0,tortura,33
C134,Calificado,ausencia de antecedentes,0,registros de comunicaciones,parejas,venganza,Muestra arrepentimiento genuino,46,presion de grupos delectivos,0,violencia extrema,29
C135,Calificado,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,parejas,celos,colaboracion con la justicia,36,consumo de alcohol,0,tortura,38
C136,Calificado,0,planificacion del crimen,0,familiares,celos,muestra remordimiento,19,presion de grupos delectivos,transtornos mentales,0,30
C137,Simple,ausencia de antecedentes,0,registros de comunicaciones,parejas,celos,ha realizado acciones de reparacion,55,0,condiciones que afectan la capacidad de juicio,tortura,18
C138,Calificado,ausencia de antecedentes,uso de armas de fuego,0,familiares,violencia domestica,Muestra arrepentimiento genuino,33,consumo de drogas,condiciones que afectan la capacidad de juicio,0,25
C139,0,0,0,registros de comunicaciones,0,0,Muestra arrepentimiento genuino,22,consumo de alcohol,0,violencia extrema,32
C140,Simple,ausencia de antecedentes,planificacion del crimen,0,familiares,violencia domestica,Muestra arrepentimiento genuino,36,consumo de drogas,condiciones que afectan la capacidad de juicio,mutilacion,17
C141,0,0,participacion de multiples acusados,0,conocidos,0,Muestra arrepentimiento genuino,25,presion de grupos delectivos,0,tortura,33
C142,0,Tiene antecedentes por delitos violentos,uso de arma blanca,registros de comunicaciones,parejas,0,Muestra arrepentimiento genuino,35,consumo de drogas,transtornos mentales,mutilacion,39
C143,Simple,0,participacion de multiples acusados,testimonios de testigos,conocidos,defensa propia,colaboracion con la justicia,50,0,0,violencia extrema,26
C144,0,ausencia de antecedentes,planificacion del crimen,pruebas forenses,familiares,venganza,muestra remordimiento,54,consumo de drogas,condiciones que afectan la capacidad de juicio,0,30
C145,Calificado,ausencia de antecedentes,uso de armas de fuego,evaluaciones psicológicas,familiares,violencia domestica,muestra remordimiento,29,0,0,violencia extrema,22
C146,Calificado,ausencia de antecedentes,0,pruebas forenses,0,celos,muestra remordimiento,54,consumo de drogas,transtornos mentales,violencia extrema,26
C147,Calificado,ha cometido homicidios previos,planificacion del crimen,0,conocidos,0,ha realizado acciones de reparacion,42,0,0,tortura,30
C148,Calificado,ausencia de antecedentes,uso de armas de fuego,pruebas forenses,parejas,venganza,muestra remordimiento,41,consumo de alcohol,condiciones que afectan la capacidad de juicio,violencia extrema,30
C149,Simple,ha cometido homicidios previos,planificacion del crimen,registros de comunicaciones,familiares,0,Muestra arrepentimiento genuino,49,0,0,violencia extrema,30
