CASOS,Tipo de homicidio,Antecedentes del acusado,Agravantes,Evidencias presentadas en el juicio,Relacion entre el acusado y la victima,Motivacion del crimen,Conducta del acusado durante el juicio,Edad del acusado,Causalidades externas,Evaluacion psicologica,Grado de violencia,Pena
C150,Calificado,ha cometido homicidios previos,0,evaluaciones psicológicas,0,venganza,muestra remordimiento,27,consumo de drogas,condiciones que afectan la capacidad de juicio,tortura,32
C151,Calificado,ausencia de antecedentes,uso de arma blanca,registros de comunicaciones,familiares,defensa propia,Muestra arrepentimiento genuino,28,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,16
C152,Calificado,0,uso de armas de fuego,pruebas forenses,parejas,0,ha realizado acciones de reparacion,55,consumo de alcohol,transtornos mentales,mutilacion,39
C153,Simple,ausencia de antecedentes,participacion de multiples acusados,registros de comunicaciones,conocidos,0,Muestra arrepentimiento genuino,16,consumo de alcohol,transtornos mentales,tortura,23
C154,Calificado,0,planificacion del crimen,pruebas forenses,familiares,defensa propia,0,41,presion de grupos delectivos,transtornos mentales,mutilacion,25
C155,Calificado,Tiene antecedentes por delitos violentos,planificacion del crimen,evaluaciones psicológicas,familiares,defensa propia,colaboracion con la justicia,45,consumo de alcohol,condiciones que afectan la capacidad de juicio,mutilacion,28
C156,Simple,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,familiares,0,colaboracion con la justicia,24,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,38
C157,Simple,ausencia de antecedentes,0,evaluaciones psicológicas,conocidos,0,0,35,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,22
C158,0,0,0,pruebas forenses,familiares,defensa propia,ha realizado acciones de reparacion,15,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,24
C159,0,ha cometido homicidios previos,uso de armas de fuego,testimonios de testigos,parejas,defensa propia,colaboracion con la justicia,51,0,condiciones que afectan la capacidad de juicio,violencia extrema,31
C160,Calificado,ausencia de antecedentes,uso de armas de fuego,0,0,venganza,muestra remordimiento,36,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,27
C161,Calificado,0,uso de arma blanca,registros de comunicaciones,parejas,violencia domestica,Muestra arrepentimiento genuino,43,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,28
C162,Simple,0,uso de arma blanca,registros de comunicaciones,conocidos,0,0,47,consumo de alcohol,transtornos mentales,0,31
C163,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,pruebas forenses,familiares,0,Muestra arrepentimiento genuino,41,consumo de alcohol,transtornos mentales,tortura,40
C164,Calificado,0,uso de armas de fuego,0,conocidos,violencia domestica,0,41,0,transtornos mentales,0,29
C165,0,ha cometido homicidios previos,uso de armas de fuego,pruebas forenses,conocidos,0,ha realizado acciones de reparacion,21,presion de grupos delectivos,0,mutilacion,33
C166,Simple,Tiene antecedentes por delitos violentos,planificacion del crimen,evaluaciones psicológicas,familiares,0,0,17,presion de grupos delectivos,transtornos mentales,violencia extrema,30
C167,Calificado,ha cometido homicidios previos,uso de armas de fuego,pruebas forenses,parejas,defensa propia,Muestra arrepentimiento genuino,44,0,0,tortura,23
C168,0,0,uso de armas de fuego,registros de comunicaciones,conocidos,violencia domestica,colaboracion con la justicia,49,consumo de drogas,0,tortura,33
C169,Simple,0,uso de arma blanca,0,conocidos,0,0,38,0,transtornos mentales,mutilacion,31
C170,Simple,ausencia de antecedentes,0,testimonios de testigos,familiares,venganza,colaboracion con la justicia,21,presion de grupos delectivos,transtornos mentales,tortura,33
C171,Simple,ausencia de antecedentes,planificacion del crimen,evaluaciones psicológicas,conocidos,defensa propia,ha realizado acciones de reparacion,43,0,condiciones que afectan la capacidad de juicio,tortura,5
C172,0,Tiene antecedentes por delitos violentos,0,pruebas forenses,0,celos,Muestra arrepentimiento genuino,19,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,28
C173,Simple,0,planificacion del crimen,evaluaciones psicológicas,parejas,celos,colaboracion con la justicia,20,consumo de drogas,0,mutilacion,28
C174,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,registros de comunicaciones,conocidos,violencia domestica,ha realizado acciones de reparacion,19,0,transtornos mentales,0,27
C175,0,Tiene antecedentes por delitos violentos,uso de arma blanca,0,familiares,celos,colaboracion con la justicia,48,0,condiciones que afectan la capacidad de juicio,violencia extrema,39
C176,Calificado,ha cometido homicidios previos,0,registros de comunicaciones,0,celos,0,55,0,transtornos mentales,mutilacion,31
C177,0,0,participacion de multiples acusados,registros de comunicaciones,0,venganza,ha realizado acciones de reparacion,16,presion de grupos delectivos,transtornos mentales,tortura,35
C178,Calificado,ausencia de antecedentes,uso de armas de fuego,pruebas forenses,conocidos,violencia domestica,Muestra arrepentimiento genuino,43,0,condiciones que afectan la capacidad de juicio,mutilacion,21
C179,Calificado,ausencia de antecedentes,uso de armas de fuego,0,familiares,0,Muestra arrepentimiento genuino,28,0,transtornos mentales,0,31
C180,0,Tiene antecedentes por delitos violentos,planificacion del crimen,0,conocidos,0,0,37,0,condiciones que afectan la capacidad de juicio,mutilacion,31
C181,0,Tiene antecedentes por delitos violentos,uso de arma blanca,registros de comunicaciones,parejas,celos,colaboracion con la justicia,37,0,condiciones que afectan la capacidad de juicio,mutilacion,37
C182,0,Tiene antecedentes por delitos violentos,uso de arma blanca,testimonios de testigos,conocidos,defensa propia,Muestra arrepentimiento genuino,29,0,0,0,21
C183,Simple,ausencia de antecedentes,participacion de multiples acusados,pruebas forenses,parejas,venganza,colaboracion con la justicia,40,0,transtornos mentales,mutilacion,35
C184,0,ha cometido homicidios previos,0,registros de comunicaciones,parejas,celos,muestra remordimiento,33,consumo de drogas,condiciones que afectan la capacidad de juicio,tortura,31
C185,Simple,ha cometido homicidios previos,uso de arma blanca,0,familiares,celos,0,46,consumo de alcohol,condiciones que afectan la capacidad de juicio,violencia extrema,28
C186,0,ha cometido homicidios previos,0,0,0,defensa propia,0,45,0,transtornos mentales,tortura,22
C187,Simple,ausencia de antecedentes,participacion de multiples acusados,registros de comunicaciones,familiares,defensa propia,ha realizado acciones de reparacion,28,consumo de drogas,0,tortura,13
C188,Calificado,0,uso de armas de fuego,registros de comunicaciones,parejas,violencia domestica,colaboracion con la justicia,43,0,condiciones que afectan la capacidad de juicio,0,35
C189,0,ha cometido homicidios previos,participacion de multiples acusados,registros de comunicaciones,0,violencia domestica,muestra remordimiento,45,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,28
C190,Simple,ha cometido homicidios previos,planificacion del crimen,evaluaciones psicológicas,parejas,venganza,0,16,0,0,0,26
C191,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,0,familiares,celos,ha realizado acciones de reparacion,33,0,0,mutilacion,30
C192,Calificado,ausencia de antecedentes,uso de armas de fuego,0,conocidos,defensa propia,ha realizado acciones de reparacion,51,presion de grupos delectivos,transtornos mentales,0,16
C193,0,Tiene antecedentes por delitos violentos,planificacion del crimen,registros de comunicaciones,parejas,defensa propia,colaboracion con la justicia,45,0,0,0,26
C194,Simple,ha cometido homicidios previos,planificacion del crimen,evaluaciones psicológicas,parejas,0,colaboracion con la justicia,34,presion de grupos delectivos,0,0,34
C195,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,pruebas forenses,parejas,celos,muestra remordimiento,36,0,0,tortura,33
C196,Simple,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,conocidos,celos,Muestra arrepentimiento genuino,37,consumo de drogas,0,0,27
C197,Calificado,ha cometido homicidios previos,0,testimonios de testigos,0,defensa propia,Muestra arrepentimiento genuino,26,presion de grupos delectivos,0,mutilacion,21
C198,0,0,uso de armas de fuego,0,conocidos,0,colaboracion con la justicia,43,consumo de alcohol,condiciones que afectan la capacidad de juicio,mutilacion,40
C199,Calificado,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,parejas,venganza,Muestra arrepentimiento genuino,45,0,0,violencia extrema,36
C200,Simple,ha cometido homicidios previos,planificacion del crimen,evaluaciones psicológicas,0,0,ha realizado acciones de reparacion,43,presion de grupos delectivos,0,mutilacion,26
C201,0,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,conocidos,venganza,Muestra arrepentimiento genuino,20,consumo de drogas,condiciones que afectan la capacidad de juicio,0,33
C202,Simple,ha cometido homicidios previos,uso de armas de fuego,0,familiares,0,muestra remordimiento,24,presion de grupos delectivos,transtornos mentales,violencia extrema,33
C203,Simple,Tiene antecedentes por delitos violentos,uso de arma blanca,testimonios de testigos,conocidos,celos,0,38,0,transtornos mentales,mutilacion,28
C204,Simple,0,uso de armas de fuego,evaluaciones psicológicas,familiares,defensa propia,muestra remordimiento,19,consumo de alcohol,transtornos mentales,tortura,19
C205,Simple,ha cometido homicidios previos,0,testimonios de testigos,familiares,violencia domestica,ha realizado acciones de reparacion,51,consumo de alcohol,condiciones que afectan la capacidad de juicio,tortura,27
C206,Simple,Tiene antecedentes por delitos violentos,0,pruebas forenses,conocidos,0,0,29,consumo de drogas,transtornos mentales,0,31
C207,Simple,ha cometido homicidios previos,0,registros de comunicaciones,familiares,violencia domestica,muestra remordimiento,43,consumo de alcohol,0,violencia extrema,26
C208,Simple,Tiene antecedentes por delitos violentos,participacion de multiples acusados,testimonios de testigos,familiares,defensa propia,muestra remordimiento,33,consumo de alcohol,0,violencia extrema,24
C209,Simple,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,conocidos,defensa propia,0,28,0,transtornos mentales,violencia extrema,16
C210,0,Tiene antecedentes por delitos violentos,0,testimonios de testigos,familiares,venganza,ha realizado acciones de reparacion,54,consumo de drogas,0,0,41
C211,0,Tiene antecedentes por delitos violentos,planificacion del crimen,registros de comunicaciones,conocidos,violencia domestica,ha realizado acciones de reparacion,27,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,22
C212,Calificado,0,participacion de multiples acusados,pruebas forenses,familiares,defensa propia,colaboracion con la justicia,26,consumo de alcohol,0,mutilacion,32
C213,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,testimonios de testigos,0,defensa propia,ha realizado acciones de reparacion,30,0,transtornos mentales,mutilacion,25
C214,Calificado,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,conocidos,defensa propia,Muestra arrepentimiento genuino,33,0,transtornos mentales,tortura,24
C215,Simple,ausencia de antecedentes,uso de armas de fuego,evaluaciones psicológicas,0,celos,ha realizado acciones de reparacion,53,0,0,violencia extrema,17
C216,0,Tiene antecedentes por delitos violentos,participacion de multiples acusados,0,0,violencia domestica,ha realizado acciones de reparacion,50,consumo de drogas,0,violencia extrema,30
C217,Simple,ha cometido homicidios previos,participacion de multiples acusados,0,familiares,celos,Muestra arrepentimiento genuino,34,consumo de drogas,transtornos mentales,violencia extrema,33
C218,0,Tiene antecedentes por delitos violentos,planificacion del crimen,evaluaciones psicológicas,conocidos,celos,ha realizado acciones de reparacion,33,consumo de drogas,0,violencia extrema,27
C219,0,ausencia de antecedentes,planificacion del crimen,testimonios de testigos,parejas,defensa propia,Muestra arrepentimiento genuino,20,consumo de alcohol,transtornos mentales,0,15
C220,Calificado,0,uso de armas de fuego,registros de comunicaciones,0,0,colaboracion con la justicia,30,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,40
C221,Simple,ha cometido homicidios previos,uso de armas de fuego,0,conocidos,violencia domestica,0,27,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,tortura,19
C222,Simple,ausencia de antecedentes,planificacion del crimen,0,familiares,celos,Muestra arrepentimiento genuino,26,presion de grupos delectivos,0,violencia extrema,16
C223,Simple,0,participacion de multiples acusados,registros de comunicaciones,0,defensa propia,ha realizado acciones de reparacion,40,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,19
C224,Calificado,ausencia de antecedentes,participacion de multiples acusados,evaluaciones psicológicas,conocidos,defensa propia,0,18,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,14
C225,Calificado,0,uso de armas de fuego,testimonios de testigos,0,0,muestra remordimiento,29,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,34
C226,Calificado,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,parejas,celos,0,25,presion de grupos delectivos,transtornos mentales,mutilacion,31
C227,0,ha cometido homicidios previos,participacion de multiples acusados,registros de comunicaciones,parejas,defensa propia,Muestra arrepentimiento genuino,46,consumo de drogas,transtornos mentales,0,28
C228,0,0,planificacion del crimen,testimonios de testigos,conocidos,defensa propia,colaboracion con la justicia,28,consumo de alcohol,transtornos mentales,mutilacion,26
C229,Simple,ha cometido homicidios previos,planificacion del crimen,testimonios de testigos,conocidos,violencia domestica,0,50,0,transtornos mentales,violencia extrema,23
C230,0,0,planificacion del crimen,0,conocidos,violencia domestica,0,30,consumo de drogas,transtornos mentales,tortura,26
C231,0,ausencia de antecedentes,0,evaluaciones psicológicas,0,venganza,muestra remordimiento,29,0,condiciones que afectan la capacidad de juicio,0,25
C232,Simple,0,planificacion del crimen,evaluaciones psicológicas,conocidos,violencia domestica,Muestra arrepentimiento genuino,18,consumo de alcohol,condiciones que afectan la capacidad de juicio,mutilacion,17
C233,0,ausencia de antecedentes,uso de arma blanca,evaluaciones psicológicas,familiares,violencia domestica,muestra remordimiento,30,presion de grupos delectivos,transtornos mentales,mutilacion,26
C234,Calificado,ausencia de antecedentes,0,evaluaciones psicológicas,0,celos,Muestra arrepentimiento genuino,39,consumo de drogas,transtornos mentales,0,25
C235,Simple,ha cometido homicidios previos,uso de armas de fuego,testimonios de testigos,parejas,violencia domestica,ha realizado acciones de reparacion,23,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,25
C236,Calificado,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,0,defensa propia,Muestra arrepentimiento genuino,26,presion de grupos delectivos,transtornos mentales,mutilacion,23
C237,Calificado,ausencia de antecedentes,0,0,familiares,venganza,muestra remordimiento,29,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,29
C238,0,ausencia de antecedentes,0,testimonios de testigos,parejas,defensa propia,0,46,presion de grupos delectivos,0,0,18
C239,Calificado,0,planificacion del crimen,pruebas forenses,parejas,violencia domestica,muestra remordimiento,50,0,condiciones que afectan la capacidad de juicio,0,27
C240,Simple,0,uso de armas de fuego,pruebas forenses,familiares,violencia domestica,muestra remordimiento,54,consumo de alcohol,condiciones que afectan la capacidad de juicio,mutilacion,27
C241,Calificado,ausencia de antecedentes,uso de arma blanca,registros de comunicaciones,parejas,celos,Muestra arrepentimiento genuino,38,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,tortura,23
C242,Simple,Tiene antecedentes por delitos violentos,uso de armas de fuego,pruebas forenses,parejas,venganza,muestra remordimiento,36,0,transtornos mentales,0,34
C243,0,0,uso de arma blanca,registros de comunicaciones,conocidos,defensa propia,ha realizado acciones de reparacion,30,0,transtornos mentales,tortura,22
C244,Calificado,ausencia de antecedentes,planificacion del crimen,registros de comunicaciones,0,venganza,colaboracion con la justicia,40,consumo de drogas,condiciones que afectan la capacidad de juicio,0,31
C245,Calificado,ausencia de antecedentes,planificacion del crimen,registros de comunicaciones,parejas,venganza,colaboracion con la justicia,30,presion de grupos delectivos,0,mutilacion,32
C246,Calificado,ha cometido homicidios previos,uso de arma blanca,pruebas forenses,parejas,violencia domestica,0,32,consumo de drogas,0,0,31
C247,Simple,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,conocidos,0,Muestra arrepentimiento genuino,27,0,0,violencia extrema,27
C248,Simple,0,planificacion del crimen,testimonios de testigos,familiares,venganza,0,24,consumo de alcohol,condiciones que afectan la capacidad de juicio,violencia extrema,30
C249,0,ausencia de antecedentes,uso de armas de fuego,pruebas forenses,parejas,violencia domestica,0,52,consumo de alcohol,transtornos mentales,tortura,24
C250,0,ausencia de antecedentes,uso de armas de fuego,testimonios de testigos,parejas,0,muestra remordimiento,48,consumo de drogas,0,tortura,31
C251,0,0,0,pruebas forenses,familiares,violencia domestica,colaboracion con la justicia,53,0,condiciones que afectan la capacidad de juicio,tortura,37
C252,0,ha cometido homicidios previos,uso de armas de fuego,evaluaciones psicológicas,parejas,violencia domestica,0,26,0,condiciones que afectan la capacidad de juicio,0,27
C253,Calificado,Tiene antecedentes por delitos violentos,uso de armas de fuego,evaluaciones psicológicas,parejas,venganza,ha realizado acciones de reparacion,16,presion de grupos delectivos,0,0,34
C254,Simple,ausencia de antecedentes,0,pruebas forenses,parejas,0,colaboracion con la justicia,48,presion de grupos delectivos,transtornos mentales,tortura,32
C255,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,pruebas forenses,familiares,defensa propia,0,19,consumo de drogas,0,mutilacion,25
C256,Simple,0,uso de armas de fuego,0,familiares,venganza,0,20,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,tortura,30
C257,0,0,planificacion del crimen,0,parejas,defensa propia,colaboracion con la justicia,44,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,26
C258,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,0,0,venganza,colaboracion con la justicia,22,consumo de drogas,condiciones que afectan la capacidad de juicio,tortura,38
C259,Calificado,Tiene antecedentes por delitos violentos,participacion de multiples acusados,registros de comunicaciones,0,0,Muestra arrepentimiento genuino,35,presion de grupos delectivos,0,violencia extrema,36
C260,0,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,0,celos,colaboracion con la justicia,43,consumo de drogas,condiciones que afectan la capacidad de juicio,mutilacion,36
C261,0,Tiene antecedentes por delitos violentos,uso de arma blanca,0,conocidos,violencia domestica,ha realizado acciones de reparacion,40,0,transtornos mentales,0,29
C262,0,0,planificacion del crimen,0,conocidos,celos,ha realizado acciones de reparacion,36,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,violencia extrema,26
C263,Calificado,ha cometido homicidios previos,planificacion del crimen,evaluaciones psicológicas,conocidos,celos,0,53,consumo de alcohol,0,mutilacion,26
C264,Calificado,ausencia de antecedentes,uso de arma blanca,testimonios de testigos,familiares,venganza,ha realizado acciones de reparacion,15,consumo de drogas,transtornos mentales,0,34
C265,Simple,Tiene antecedentes por delitos violentos,0,registros de comunicaciones,familiares,defensa propia,0,36,0,transtornos mentales,tortura,21
C266,0,ausencia de antecedentes,uso de armas de fuego,testimonios de testigos,parejas,0,ha realizado acciones de reparacion,34,consumo de alcohol,condiciones que afectan la capacidad de juicio,mutilacion,31
C267,Simple,ha cometido homicidios previos,participacion de multiples acusados,pruebas forenses,0,venganza,colaboracion con la justicia,19,consumo de alcohol,transtornos mentales,violencia extrema,38
C268,Simple,ha cometido homicidios previos,uso de arma blanca,registros de comunicaciones,0,defensa propia,colaboracion con la justicia,38,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,tortura,21
C269,0,ausencia de antecedentes,participacion de multiples acusados,0,familiares,0,colaboracion con la justicia,22,consumo de drogas,transtornos mentales,tortura,39
C270,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,evaluaciones psicológicas,conocidos,venganza,0,33,consumo de alcohol,0,tortura,33
C271,Simple,ha cometido homicidios previos,uso de armas de fuego,0,parejas,venganza,ha realizado acciones de reparacion,16,consumo de drogas,transtornos mentales,0,32
C272,Simple,ha cometido homicidios previos,participacion de multiples acusados,registros de comunicaciones,conocidos,venganza,0,27,0,0,tortura,28
C273,Simple,ausencia de antecedentes,uso de arma blanca,testimonios de testigos,0,celos,muestra remordimiento,51,0,condiciones que afectan la capacidad de juicio,tortura,18
C274,0,ausencia de antecedentes,participacion de multiples acusados,registros de comunicaciones,0,venganza,muestra remordimiento,40,consumo de drogas,0,violencia extrema,30
C275,Calificado,ha cometido homicidios previos,uso de armas de fuego,0,conocidos,venganza,ha realizado acciones de reparacion,42,0,transtornos mentales,violencia extrema,36
C276,Calificado,ausencia de antecedentes,planificacion del crimen,testimonios de testigos,conocidos,violencia domestica,0,55,0,0,mutilacion,19
C277,Calificado,ha cometido homicidios previos,uso de arma blanca,evaluaciones psicológicas,0,venganza,ha realizado acciones de reparacion,55,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,mutilacion,34
C278,Calificado,ausencia de antecedentes,planificacion del crimen,registros de comunicaciones,parejas,0,muestra remordimiento,15,presion de grupos delectivos,transtornos mentales,mutilacion,26
C279,0,ha cometido homicidios previos,uso de arma blanca,pruebas forenses,familiares,0,ha realizado acciones de reparacion,21,0,0,tortura,36
C280,0,0,uso de armas de fuego,evaluaciones psicológicas,familiares,0,colaboracion con la justicia,33,consumo de drogas,condiciones que afectan la capacidad de juicio,violencia extrema,45
C281,0,ausencia de antecedentes,uso de arma blanca,testimonios de testigos,conocidos,defensa propia,colaboracion con la justicia,49,0,0,0,22
C282,Simple,ausencia de antecedentes,planificacion del crimen,testimonios de testigos,0,celos,0,32,consumo de alcohol,transtornos mentales,violencia extrema,18
C283,Simple,Tiene antecedentes por delitos violentos,0,testimonios de testigos,parejas,violencia domestica,0,41,consumo de alcohol,0,violencia extrema,26
C284,0,ha cometido homicidios previos,uso de arma blanca,0,conocidos,venganza,ha realizado acciones de reparacion,29,consumo de alcohol,condiciones que afectan la capacidad de juicio,0,32
C285,Simple,ha cometido homicidios previos,uso de arma blanca,pruebas forenses,parejas,0,Muestra arrepentimiento genuino,41,consumo de alcohol,0,violencia extrema,32
C286,0,0,uso de arma blanca,0,0,celos,Muestra arrepentimiento genuino,32,0,transtornos mentales,violencia extrema,31
C287,Simple,ha cometido homicidios previos,participacion de multiples acusados,evaluaciones psicológicas,0,violencia domestica,colaboracion con la justicia,38,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,0,30
C288,Calificado,Tiene antecedentes por delitos violentos,uso de arma blanca,evaluaciones psicológicas,parejas,violencia domestica,ha realizado acciones de reparacion,53,consumo de alcohol,0,mutilacion,29
C289,Simple,Tiene antecedentes por delitos violentos,uso de arma blanca,0,familiares,venganza,muestra remordimiento,21,presion de grupos delectivos,condiciones que afectan la capacidad de juicio,tortura,30
C290,0,0,participacion de multiples acusados,registros de comunicaciones,0,violencia domestica,colaboracion con la justicia,31,0,condiciones que afectan la capacidad de juicio,violencia extrema,35
C291,Simple,0,planificacion del crimen,registros de comunicaciones,0,celos,ha realizado acciones de reparacion,45,0,0,violencia extrema,21
C292,Calificado,ha cometido homicidios previos,uso de arma blanca,0,conocidos,celos,ha realizado acciones de reparacion,27,consumo de drogas,0,violencia extrema,28
C293,0,ausencia de antecedentes,uso de arma blanca,registros de comunicaciones,conocidos,0,ha realizado acciones de reparacion,41,consumo de alcohol,transtornos mentales,violencia extrema,29
C294,Calificado,ha cometido homicidios previos,planificacion del crimen,testimonios de testigos,conocidos,celos,colaboracion con la justicia,45,consumo de alcohol,transtornos mentales,violencia extrema,36
C295,Calificado,ha cometido homicidios previos,uso de arma blanca,testimonios de testigos,0,violencia domestica,0,25,presion de grupos delectivos,0,0,27
C296,Simple,ausencia de antecedentes,0,0,0,celos,ha realizado acciones de reparacion,27,consumo de alcohol,0,tortura,14
C297,Simple,0,planificacion del crimen,evaluaciones psicológicas,conocidos,violencia domestica,muestra remordimiento,36,0,transtornos mentales,0,21
C298,Calificado,0,uso de armas de fuego,registros de comunicaciones,parejas,venganza,0,54,0,0,mutilacion,36
C299,Simple,ausencia de antecedentes,uso de arma blanca,pruebas forenses,familiares,celos,Muestra arrepentimiento genuino,24,presion de grupos delectivos,transtornos mentales,0,22
C300,Calificado,ha cometido homicidios previos,uso de armas de fuego,evaluaciones psicológicas,familiares,venganza,0,49,0,0,mutilacion,38
